"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"STR_DZCOURIERZ_DZCR_REWARDCHEST_DESC","DeutschZ CourierZ reward chest with 500 cargo slots for successful deliveries.","DeutschZ CourierZ reward chest with 500 cargo slots for successful deliveries.","DeutschZ CourierZ reward chest with 500 cargo slots for successful deliveries.","DeutschZ CourierZ Rewardkiste mit 500 Cargo-Slots fuer erfolgreiche Lieferungen.","DeutschZ CourierZ reward chest with 500 cargo slots for successful deliveries.","DeutschZ CourierZ reward chest with 500 cargo slots for successful deliveries.","DeutschZ CourierZ reward chest with 500 cargo slots for successful deliveries.","DeutschZ CourierZ reward chest with 500 cargo slots for successful deliveries.","DeutschZ CourierZ reward chest with 500 cargo slots for successful deliveries.","DeutschZ CourierZ reward chest with 500 cargo slots for successful deliveries.","DeutschZ CourierZ reward chest with 500 cargo slots for successful deliveries.","DeutschZ CourierZ reward chest with 500 cargo slots for successful deliveries.","DeutschZ CourierZ reward chest with 500 cargo slots for successful deliveries.","DeutschZ CourierZ reward chest with 500 cargo slots for successful deliveries."
"STR_DZCOURIERZ_DZ_COURIERZ_BRIEFCASE_NAME","DeutschZ CourierZ Briefcase","DeutschZ CourierZ Briefcase","DeutschZ CourierZ Briefcase","DeutschZ CourierZ Aktenkoffer","DeutschZ CourierZ Briefcase","DeutschZ CourierZ Briefcase","DeutschZ CourierZ Briefcase","DeutschZ CourierZ Briefcase","DeutschZ CourierZ Briefcase","DeutschZ CourierZ Briefcase","DeutschZ CourierZ Briefcase","DeutschZ CourierZ Briefcase","DeutschZ CourierZ Briefcase","DeutschZ CourierZ Briefcase"
"STR_DZCOURIERZ_DZ_COURIERZ_BRIEFCASE_DESC","Event-only briefcase for CourierZ deliveries. Objective item for delivery, reward and admin logic.","Event-only briefcase for CourierZ deliveries. Objective item for delivery, reward and admin logic.","Event-only briefcase for CourierZ deliveries. Objective item for delivery, reward and admin logic.","Event-only Aktenkoffer fuer CourierZ-Lieferungen. Zielobjekt fuer Liefer-, Reward- und Adminlogik.","Event-only briefcase for CourierZ deliveries. Objective item for delivery, reward and admin logic.","Event-only briefcase for CourierZ deliveries. Objective item for delivery, reward and admin logic.","Event-only briefcase for CourierZ deliveries. Objective item for delivery, reward and admin logic.","Event-only briefcase for CourierZ deliveries. Objective item for delivery, reward and admin logic.","Event-only briefcase for CourierZ deliveries. Objective item for delivery, reward and admin logic.","Event-only briefcase for CourierZ deliveries. Objective item for delivery, reward and admin logic.","Event-only briefcase for CourierZ deliveries. Objective item for delivery, reward and admin logic.","Event-only briefcase for CourierZ deliveries. Objective item for delivery, reward and admin logic.","Event-only briefcase for CourierZ deliveries. Objective item for delivery, reward and admin logic.","Event-only briefcase for CourierZ deliveries. Objective item for delivery, reward and admin logic."
"STR_DZCOURIERZ_DZ_COURIERZ_SEALEDCOURIERFOLDER_NAME","DeutschZ CourierZ Sealed Courier Folder","DeutschZ CourierZ Sealed Courier Folder","DeutschZ CourierZ Sealed Courier Folder","DeutschZ CourierZ versiegelte Kuriermappe","DeutschZ CourierZ Sealed Courier Folder","DeutschZ CourierZ Sealed Courier Folder","DeutschZ CourierZ Sealed Courier Folder","DeutschZ CourierZ Sealed Courier Folder","DeutschZ CourierZ Sealed Courier Folder","DeutschZ CourierZ Sealed Courier Folder","DeutschZ CourierZ Sealed Courier Folder","DeutschZ CourierZ Sealed Courier Folder","DeutschZ CourierZ Sealed Courier Folder","DeutschZ CourierZ Sealed Courier Folder"
"STR_DZCOURIERZ_DZ_COURIERZ_SEALEDCOURIERFOLDER_DESC","Sealed folder with courier documents. Event-only document for CourierZ.","Sealed folder with courier documents. Event-only document for CourierZ.","Sealed folder with courier documents. Event-only document for CourierZ.","Versiegelte Mappe mit Kurierunterlagen. Event-only Dokument fuer CourierZ.","Sealed folder with courier documents. Event-only document for CourierZ.","Sealed folder with courier documents. Event-only document for CourierZ.","Sealed folder with courier documents. Event-only document for CourierZ.","Sealed folder with courier documents. Event-only document for CourierZ.","Sealed folder with courier documents. Event-only document for CourierZ.","Sealed folder with courier documents. Event-only document for CourierZ.","Sealed folder with courier documents. Event-only document for CourierZ.","Sealed folder with courier documents. Event-only document for CourierZ.","Sealed folder with courier documents. Event-only document for CourierZ.","Sealed folder with courier documents. Event-only document for CourierZ."
"STR_DZCOURIERZ_DZ_COURIERZ_SECRETDELIVERYCONTRACT_NAME","DeutschZ CourierZ Secret Delivery Contract","DeutschZ CourierZ Secret Delivery Contract","DeutschZ CourierZ Secret Delivery Contract","DeutschZ CourierZ geheimer Liefervertrag","DeutschZ CourierZ Secret Delivery Contract","DeutschZ CourierZ Secret Delivery Contract","DeutschZ CourierZ Secret Delivery Contract","DeutschZ CourierZ Secret Delivery Contract","DeutschZ CourierZ Secret Delivery Contract","DeutschZ CourierZ Secret Delivery Contract","DeutschZ CourierZ Secret Delivery Contract","DeutschZ CourierZ Secret Delivery Contract","DeutschZ CourierZ Secret Delivery Contract","DeutschZ CourierZ Secret Delivery Contract"
"STR_DZCOURIERZ_DZ_COURIERZ_SECRETDELIVERYCONTRACT_DESC","Secret delivery contract with route, destination and recipient ID.","Secret delivery contract with route, destination and recipient ID.","Secret delivery contract with route, destination and recipient ID.","Geheimer Liefervertrag mit Route, Zielort und Empfaengerkennung.","Secret delivery contract with route, destination and recipient ID.","Secret delivery contract with route, destination and recipient ID.","Secret delivery contract with route, destination and recipient ID.","Secret delivery contract with route, destination and recipient ID.","Secret delivery contract with route, destination and recipient ID.","Secret delivery contract with route, destination and recipient ID.","Secret delivery contract with route, destination and recipient ID.","Secret delivery contract with route, destination and recipient ID.","Secret delivery contract with route, destination and recipient ID.","Secret delivery contract with route, destination and recipient ID."
"STR_DZCOURIERZ_DZ_COURIERZ_GPSTRACKER_NAME","DeutschZ CourierZ GPS-Tracker","DeutschZ CourierZ GPS-Tracker","DeutschZ CourierZ GPS-Tracker","DeutschZ CourierZ GPS-Tracker","DeutschZ CourierZ GPS-Tracker","DeutschZ CourierZ GPS-Tracker","DeutschZ CourierZ GPS-Tracker","DeutschZ CourierZ GPS-Tracker","DeutschZ CourierZ GPS-Tracker","DeutschZ CourierZ GPS-Tracker","DeutschZ CourierZ GPS-Tracker","DeutschZ CourierZ GPS-Tracker","DeutschZ CourierZ GPS-Tracker","DeutschZ CourierZ GPS-Tracker"
"STR_DZCOURIERZ_DZ_COURIERZ_GPSTRACKER_DESC","Tracker fuer Kurierkoffer und Zielmarker. Event-only Technikitem.","Tracker fuer Kurierkoffer und Zielmarker. Event-only Technikitem.","Tracker fuer Kurierkoffer und Zielmarker. Event-only Technikitem.","Tracker for courier cases and target markers. Event-only technology item.","Tracker fuer Kurierkoffer und Zielmarker. Event-only Technikitem.","Tracker fuer Kurierkoffer und Zielmarker. Event-only Technikitem.","Tracker fuer Kurierkoffer und Zielmarker. Event-only Technikitem.","Tracker fuer Kurierkoffer und Zielmarker. Event-only Technikitem.","Tracker fuer Kurierkoffer und Zielmarker. Event-only Technikitem.","Tracker fuer Kurierkoffer und Zielmarker. Event-only Technikitem.","Tracker fuer Kurierkoffer und Zielmarker. Event-only Technikitem.","Tracker fuer Kurierkoffer und Zielmarker. Event-only Technikitem.","Tracker fuer Kurierkoffer und Zielmarker. Event-only Technikitem.","Tracker fuer Kurierkoffer und Zielmarker. Event-only Technikitem."
"STR_DZCOURIERZ_DZ_COURIERZ_COURIERSEAL_NAME","DeutschZ CourierZ Courier Seal","DeutschZ CourierZ Courier Seal","DeutschZ CourierZ Courier Seal","DeutschZ CourierZ Kuriersiegel","DeutschZ CourierZ Courier Seal","DeutschZ CourierZ Courier Seal","DeutschZ CourierZ Courier Seal","DeutschZ CourierZ Courier Seal","DeutschZ CourierZ Courier Seal","DeutschZ CourierZ Courier Seal","DeutschZ CourierZ Courier Seal","DeutschZ CourierZ Courier Seal","DeutschZ CourierZ Courier Seal","DeutschZ CourierZ Courier Seal"
"STR_DZCOURIERZ_DZ_COURIERZ_COURIERSEAL_DESC","Red DeutschZ courier seal as proof of a successful delivery.","Red DeutschZ courier seal as proof of a successful delivery.","Red DeutschZ courier seal as proof of a successful delivery.","Rotes DeutschZ-Kuriersiegel als Nachweis fuer eine erfolgreiche Lieferung.","Red DeutschZ courier seal as proof of a successful delivery.","Red DeutschZ courier seal as proof of a successful delivery.","Red DeutschZ courier seal as proof of a successful delivery.","Red DeutschZ courier seal as proof of a successful delivery.","Red DeutschZ courier seal as proof of a successful delivery.","Red DeutschZ courier seal as proof of a successful delivery.","Red DeutschZ courier seal as proof of a successful delivery.","Red DeutschZ courier seal as proof of a successful delivery.","Red DeutschZ courier seal as proof of a successful delivery.","Red DeutschZ courier seal as proof of a successful delivery."
"STR_DZCOURIERZ_DZ_COURIERZ_BLACKMARKETRECEIPT_NAME","DeutschZ CourierZ Black Market Receipt","DeutschZ CourierZ Black Market Receipt","DeutschZ CourierZ Black Market Receipt","DeutschZ CourierZ Schwarzmarktbeleg","DeutschZ CourierZ Black Market Receipt","DeutschZ CourierZ Black Market Receipt","DeutschZ CourierZ Black Market Receipt","DeutschZ CourierZ Black Market Receipt","DeutschZ CourierZ Black Market Receipt","DeutschZ CourierZ Black Market Receipt","DeutschZ CourierZ Black Market Receipt","DeutschZ CourierZ Black Market Receipt","DeutschZ CourierZ Black Market Receipt","DeutschZ CourierZ Black Market Receipt"
"STR_DZCOURIERZ_DZ_COURIERZ_BLACKMARKETRECEIPT_DESC","Hidden receipt for a CourierZ delivery. Event-only document for rewards, traders or follow-up tasks.","Hidden receipt for a CourierZ delivery. Event-only document for rewards, traders or follow-up tasks.","Hidden receipt for a CourierZ delivery. Event-only document for rewards, traders or follow-up tasks.","Verdeckter Beleg fuer eine CourierZ-Lieferung. Event-only Dokument fuer Rewards, Trader oder Folgeaufgaben.","Hidden receipt for a CourierZ delivery. Event-only document for rewards, traders or follow-up tasks.","Hidden receipt for a CourierZ delivery. Event-only document for rewards, traders or follow-up tasks.","Hidden receipt for a CourierZ delivery. Event-only document for rewards, traders or follow-up tasks.","Hidden receipt for a CourierZ delivery. Event-only document for rewards, traders or follow-up tasks.","Hidden receipt for a CourierZ delivery. Event-only document for rewards, traders or follow-up tasks.","Hidden receipt for a CourierZ delivery. Event-only document for rewards, traders or follow-up tasks.","Hidden receipt for a CourierZ delivery. Event-only document for rewards, traders or follow-up tasks.","Hidden receipt for a CourierZ delivery. Event-only document for rewards, traders or follow-up tasks.","Hidden receipt for a CourierZ delivery. Event-only document for rewards, traders or follow-up tasks.","Hidden receipt for a CourierZ delivery. Event-only document for rewards, traders or follow-up tasks."
