"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"STR_DZCONVOYZ_DZCV_ENCRYPTEDDATADRIVE_NAME","DeutschZ Encrypted Data Drive","DeutschZ Encrypted Data Drive","DeutschZ Encrypted Data Drive","DeutschZ verschluesselter Datentraeger","DeutschZ Encrypted Data Drive","DeutschZ Encrypted Data Drive","DeutschZ Encrypted Data Drive","DeutschZ Encrypted Data Drive","DeutschZ Encrypted Data Drive","DeutschZ Encrypted Data Drive","DeutschZ Encrypted Data Drive","DeutschZ Encrypted Data Drive","DeutschZ Encrypted Data Drive","DeutschZ Encrypted Data Drive"
"STR_DZCONVOYZ_DZCV_ENCRYPTEDDATADRIVE_DESC","Encrypted tactical data drive. Valuable to traders and future mission chains.","Encrypted tactical data drive. Valuable to traders and future mission chains.","Encrypted tactical data drive. Valuable to traders and future mission chains.","Verschluesselter taktischer Datentraeger. Wertvoll fuer Trader und spaetere Missionsketten.","Encrypted tactical data drive. Valuable to traders and future mission chains.","Encrypted tactical data drive. Valuable to traders and future mission chains.","Encrypted tactical data drive. Valuable to traders and future mission chains.","Encrypted tactical data drive. Valuable to traders and future mission chains.","Encrypted tactical data drive. Valuable to traders and future mission chains.","Encrypted tactical data drive. Valuable to traders and future mission chains.","Encrypted tactical data drive. Valuable to traders and future mission chains.","Encrypted tactical data drive. Valuable to traders and future mission chains.","Encrypted tactical data drive. Valuable to traders and future mission chains.","Encrypted tactical data drive. Valuable to traders and future mission chains."
"STR_DZCONVOYZ_DZCV_CLASSIFIEDINTEL_NAME","DeutschZ Classified Convoy Intel","DeutschZ Classified Convoy Intel","DeutschZ Classified Convoy Intel","DeutschZ klassifizierte Convoy-Informationen","DeutschZ Classified Convoy Intel","DeutschZ Classified Convoy Intel","DeutschZ Classified Convoy Intel","DeutschZ Classified Convoy Intel","DeutschZ Classified Convoy Intel","DeutschZ Classified Convoy Intel","DeutschZ Classified Convoy Intel","DeutschZ Classified Convoy Intel","DeutschZ Classified Convoy Intel","DeutschZ Classified Convoy Intel"
"STR_DZCONVOYZ_DZCV_CLASSIFIEDINTEL_DESC","Classified convoy intelligence documents. High-value event loot.","Classified convoy intelligence documents. High-value event loot.","Classified convoy intelligence documents. High-value event loot.","Klassifizierte Convoy-Geheimdienstdokumente. Hochwertiger Eventloot.","Classified convoy intelligence documents. High-value event loot.","Classified convoy intelligence documents. High-value event loot.","Classified convoy intelligence documents. High-value event loot.","Classified convoy intelligence documents. High-value event loot.","Classified convoy intelligence documents. High-value event loot.","Classified convoy intelligence documents. High-value event loot.","Classified convoy intelligence documents. High-value event loot.","Classified convoy intelligence documents. High-value event loot.","Classified convoy intelligence documents. High-value event loot.","Classified convoy intelligence documents. High-value event loot."
"STR_DZCONVOYZ_DZCV_SEALEDREWARDCHEST_NAME","DeutschZ ConvoyZ Reward Chest","DeutschZ ConvoyZ Reward Chest","DeutschZ ConvoyZ Reward Chest","DeutschZ ConvoyZ Rewardkiste","DeutschZ ConvoyZ Reward Chest","DeutschZ ConvoyZ Reward Chest","DeutschZ ConvoyZ Reward Chest","DeutschZ ConvoyZ Reward Chest","DeutschZ ConvoyZ Reward Chest","DeutschZ ConvoyZ Reward Chest","DeutschZ ConvoyZ Reward Chest","DeutschZ ConvoyZ Reward Chest","DeutschZ ConvoyZ Reward Chest","DeutschZ ConvoyZ Reward Chest"
"STR_DZCONVOYZ_DZCV_SEALEDREWARDCHEST_DESC","Sealed DeutschZ ConvoyZ reward chest with 500 cargo slots.","Sealed DeutschZ ConvoyZ reward chest with 500 cargo slots.","Sealed DeutschZ ConvoyZ reward chest with 500 cargo slots.","Versiegelte DeutschZ ConvoyZ Rewardkiste mit 500 Cargo-Slots.","Sealed DeutschZ ConvoyZ reward chest with 500 cargo slots.","Sealed DeutschZ ConvoyZ reward chest with 500 cargo slots.","Sealed DeutschZ ConvoyZ reward chest with 500 cargo slots.","Sealed DeutschZ ConvoyZ reward chest with 500 cargo slots.","Sealed DeutschZ ConvoyZ reward chest with 500 cargo slots.","Sealed DeutschZ ConvoyZ reward chest with 500 cargo slots.","Sealed DeutschZ ConvoyZ reward chest with 500 cargo slots.","Sealed DeutschZ ConvoyZ reward chest with 500 cargo slots.","Sealed DeutschZ ConvoyZ reward chest with 500 cargo slots.","Sealed DeutschZ ConvoyZ reward chest with 500 cargo slots."
"STR_DZCONVOYZ_DZ_CONVOYZ_BLACKBOX_NAME","DeutschZ ConvoyZ Blackbox","DeutschZ ConvoyZ Blackbox","DeutschZ ConvoyZ Blackbox","DeutschZ ConvoyZ Blackbox","DeutschZ ConvoyZ Blackbox","DeutschZ ConvoyZ Blackbox","DeutschZ ConvoyZ Blackbox","DeutschZ ConvoyZ Blackbox","DeutschZ ConvoyZ Blackbox","DeutschZ ConvoyZ Blackbox","DeutschZ ConvoyZ Blackbox","DeutschZ ConvoyZ Blackbox","DeutschZ ConvoyZ Blackbox","DeutschZ ConvoyZ Blackbox"
"STR_DZCONVOYZ_DZ_CONVOYZ_BLACKBOX_DESC","Recovered blackbox from a DeutschZ convoy. Event-only reward, hack or trader item.","Recovered blackbox from a DeutschZ convoy. Event-only reward, hack or trader item.","Recovered blackbox from a DeutschZ convoy. Event-only reward, hack or trader item.","Geborgene Blackbox eines DeutschZ Convoys. Event-only Reward-, Hack- oder Traderitem.","Recovered blackbox from a DeutschZ convoy. Event-only reward, hack or trader item.","Recovered blackbox from a DeutschZ convoy. Event-only reward, hack or trader item.","Recovered blackbox from a DeutschZ convoy. Event-only reward, hack or trader item.","Recovered blackbox from a DeutschZ convoy. Event-only reward, hack or trader item.","Recovered blackbox from a DeutschZ convoy. Event-only reward, hack or trader item.","Recovered blackbox from a DeutschZ convoy. Event-only reward, hack or trader item.","Recovered blackbox from a DeutschZ convoy. Event-only reward, hack or trader item.","Recovered blackbox from a DeutschZ convoy. Event-only reward, hack or trader item.","Recovered blackbox from a DeutschZ convoy. Event-only reward, hack or trader item.","Recovered blackbox from a DeutschZ convoy. Event-only reward, hack or trader item."
"STR_DZCONVOYZ_DZ_CONVOYZ_ENCRYPTEDDATAMODULE_NAME","DeutschZ ConvoyZ Data Module","DeutschZ ConvoyZ Data Module","DeutschZ ConvoyZ Data Module","DeutschZ ConvoyZ Datenmodul","DeutschZ ConvoyZ Data Module","DeutschZ ConvoyZ Data Module","DeutschZ ConvoyZ Data Module","DeutschZ ConvoyZ Data Module","DeutschZ ConvoyZ Data Module","DeutschZ ConvoyZ Data Module","DeutschZ ConvoyZ Data Module","DeutschZ ConvoyZ Data Module","DeutschZ ConvoyZ Data Module","DeutschZ ConvoyZ Data Module"
"STR_DZCONVOYZ_DZ_CONVOYZ_ENCRYPTEDDATAMODULE_DESC","Encrypted data module from a ConvoyZ vehicle. Prepared for quest and reward logic.","Encrypted data module from a ConvoyZ vehicle. Prepared for quest and reward logic.","Encrypted data module from a ConvoyZ vehicle. Prepared for quest and reward logic.","Verschluesseltes Datenmodul aus einem ConvoyZ-Fahrzeug. Fuer Quest- und Rewardlogik vorbereitet.","Encrypted data module from a ConvoyZ vehicle. Prepared for quest and reward logic.","Encrypted data module from a ConvoyZ vehicle. Prepared for quest and reward logic.","Encrypted data module from a ConvoyZ vehicle. Prepared for quest and reward logic.","Encrypted data module from a ConvoyZ vehicle. Prepared for quest and reward logic.","Encrypted data module from a ConvoyZ vehicle. Prepared for quest and reward logic.","Encrypted data module from a ConvoyZ vehicle. Prepared for quest and reward logic.","Encrypted data module from a ConvoyZ vehicle. Prepared for quest and reward logic.","Encrypted data module from a ConvoyZ vehicle. Prepared for quest and reward logic.","Encrypted data module from a ConvoyZ vehicle. Prepared for quest and reward logic.","Encrypted data module from a ConvoyZ vehicle. Prepared for quest and reward logic."
"STR_DZCONVOYZ_DZ_CONVOYZ_SEALEDWEAPONCASE_NAME","DeutschZ ConvoyZ Sealed Weapon Case","DeutschZ ConvoyZ Sealed Weapon Case","DeutschZ ConvoyZ Sealed Weapon Case","DeutschZ ConvoyZ versiegelter Waffenkoffer","DeutschZ ConvoyZ Sealed Weapon Case","DeutschZ ConvoyZ Sealed Weapon Case","DeutschZ ConvoyZ Sealed Weapon Case","DeutschZ ConvoyZ Sealed Weapon Case","DeutschZ ConvoyZ Sealed Weapon Case","DeutschZ ConvoyZ Sealed Weapon Case","DeutschZ ConvoyZ Sealed Weapon Case","DeutschZ ConvoyZ Sealed Weapon Case","DeutschZ ConvoyZ Sealed Weapon Case","DeutschZ ConvoyZ Sealed Weapon Case"
"STR_DZCONVOYZ_DZ_CONVOYZ_SEALEDWEAPONCASE_DESC","Sealed event case from a convoy. May only be issued through event, admin spawn, trader or reward.","Sealed event case from a convoy. May only be issued through event, admin spawn, trader or reward.","Sealed event case from a convoy. May only be issued through event, admin spawn, trader or reward.","Versiegelter Eventkoffer aus einem Convoy. Darf nur ueber Event, Adminspawn, Trader oder Reward ausgegeben werden.","Sealed event case from a convoy. May only be issued through event, admin spawn, trader or reward.","Sealed event case from a convoy. May only be issued through event, admin spawn, trader or reward.","Sealed event case from a convoy. May only be issued through event, admin spawn, trader or reward.","Sealed event case from a convoy. May only be issued through event, admin spawn, trader or reward.","Sealed event case from a convoy. May only be issued through event, admin spawn, trader or reward.","Sealed event case from a convoy. May only be issued through event, admin spawn, trader or reward.","Sealed event case from a convoy. May only be issued through event, admin spawn, trader or reward.","Sealed event case from a convoy. May only be issued through event, admin spawn, trader or reward.","Sealed event case from a convoy. May only be issued through event, admin spawn, trader or reward.","Sealed event case from a convoy. May only be issued through event, admin spawn, trader or reward."
"STR_DZCONVOYZ_DZ_CONVOYZ_DIESELMANIFEST_NAME","DeutschZ ConvoyZ Diesel Manifest","DeutschZ ConvoyZ Diesel Manifest","DeutschZ ConvoyZ Diesel Manifest","DeutschZ ConvoyZ Dieselmanifest","DeutschZ ConvoyZ Diesel Manifest","DeutschZ ConvoyZ Diesel Manifest","DeutschZ ConvoyZ Diesel Manifest","DeutschZ ConvoyZ Diesel Manifest","DeutschZ ConvoyZ Diesel Manifest","DeutschZ ConvoyZ Diesel Manifest","DeutschZ ConvoyZ Diesel Manifest","DeutschZ ConvoyZ Diesel Manifest","DeutschZ ConvoyZ Diesel Manifest","DeutschZ ConvoyZ Diesel Manifest"
"STR_DZCONVOYZ_DZ_CONVOYZ_DIESELMANIFEST_DESC","Transport manifest with route, diesel and cargo data from a ConvoyZ event.","Transport manifest with route, diesel and cargo data from a ConvoyZ event.","Transport manifest with route, diesel and cargo data from a ConvoyZ event.","Transportmanifest mit Routen-, Diesel- und Ladungsdaten eines ConvoyZ-Events.","Transport manifest with route, diesel and cargo data from a ConvoyZ event.","Transport manifest with route, diesel and cargo data from a ConvoyZ event.","Transport manifest with route, diesel and cargo data from a ConvoyZ event.","Transport manifest with route, diesel and cargo data from a ConvoyZ event.","Transport manifest with route, diesel and cargo data from a ConvoyZ event.","Transport manifest with route, diesel and cargo data from a ConvoyZ event.","Transport manifest with route, diesel and cargo data from a ConvoyZ event.","Transport manifest with route, diesel and cargo data from a ConvoyZ event.","Transport manifest with route, diesel and cargo data from a ConvoyZ event.","Transport manifest with route, diesel and cargo data from a ConvoyZ event."
"STR_DZCONVOYZ_DZ_CONVOYZ_RADIOKEY_NAME","DeutschZ ConvoyZ Radio Key","DeutschZ ConvoyZ Radio Key","DeutschZ ConvoyZ Radio Key","DeutschZ ConvoyZ Funkschluessel","DeutschZ ConvoyZ Radio Key","DeutschZ ConvoyZ Radio Key","DeutschZ ConvoyZ Radio Key","DeutschZ ConvoyZ Radio Key","DeutschZ ConvoyZ Radio Key","DeutschZ ConvoyZ Radio Key","DeutschZ ConvoyZ Radio Key","DeutschZ ConvoyZ Radio Key","DeutschZ ConvoyZ Radio Key","DeutschZ ConvoyZ Radio Key"
"STR_DZCONVOYZ_DZ_CONVOYZ_RADIOKEY_DESC","Encrypted radio key for ConvoyZ signals and later event triggers.","Encrypted radio key for ConvoyZ signals and later event triggers.","Encrypted radio key for ConvoyZ signals and later event triggers.","Verschluesselter Funkschluessel fuer ConvoyZ-Signale und spaetere Eventtrigger.","Encrypted radio key for ConvoyZ signals and later event triggers.","Encrypted radio key for ConvoyZ signals and later event triggers.","Encrypted radio key for ConvoyZ signals and later event triggers.","Encrypted radio key for ConvoyZ signals and later event triggers.","Encrypted radio key for ConvoyZ signals and later event triggers.","Encrypted radio key for ConvoyZ signals and later event triggers.","Encrypted radio key for ConvoyZ signals and later event triggers.","Encrypted radio key for ConvoyZ signals and later event triggers.","Encrypted radio key for ConvoyZ signals and later event triggers.","Encrypted radio key for ConvoyZ signals and later event triggers."
"STR_DZCONVOYZ_DZ_CONVOYZ_ARMORPLATEBUNDLE_NAME","DeutschZ ConvoyZ Armor Plate Bundle","DeutschZ ConvoyZ Armor Plate Bundle","DeutschZ ConvoyZ Armor Plate Bundle","DeutschZ ConvoyZ Panzerplatten-Buendel","DeutschZ ConvoyZ Armor Plate Bundle","DeutschZ ConvoyZ Armor Plate Bundle","DeutschZ ConvoyZ Armor Plate Bundle","DeutschZ ConvoyZ Armor Plate Bundle","DeutschZ ConvoyZ Armor Plate Bundle","DeutschZ ConvoyZ Armor Plate Bundle","DeutschZ ConvoyZ Armor Plate Bundle","DeutschZ ConvoyZ Armor Plate Bundle","DeutschZ ConvoyZ Armor Plate Bundle","DeutschZ ConvoyZ Armor Plate Bundle"
"STR_DZCONVOYZ_DZ_CONVOYZ_ARMORPLATEBUNDLE_DESC","Heavy bundle of recovered armor plates from a ConvoyZ event. Reward and trader item, no normal map spawn.","Heavy bundle of recovered armor plates from a ConvoyZ event. Reward and trader item, no normal map spawn.","Heavy bundle of recovered armor plates from a ConvoyZ event. Reward and trader item, no normal map spawn.","Schweres Buendel geborgener Schutzplatten aus einem ConvoyZ-Event. Reward- und Traderitem, kein normaler Mapspawn.","Heavy bundle of recovered armor plates from a ConvoyZ event. Reward and trader item, no normal map spawn.","Heavy bundle of recovered armor plates from a ConvoyZ event. Reward and trader item, no normal map spawn.","Heavy bundle of recovered armor plates from a ConvoyZ event. Reward and trader item, no normal map spawn.","Heavy bundle of recovered armor plates from a ConvoyZ event. Reward and trader item, no normal map spawn.","Heavy bundle of recovered armor plates from a ConvoyZ event. Reward and trader item, no normal map spawn.","Heavy bundle of recovered armor plates from a ConvoyZ event. Reward and trader item, no normal map spawn.","Heavy bundle of recovered armor plates from a ConvoyZ event. Reward and trader item, no normal map spawn.","Heavy bundle of recovered armor plates from a ConvoyZ event. Reward and trader item, no normal map spawn.","Heavy bundle of recovered armor plates from a ConvoyZ event. Reward and trader item, no normal map spawn.","Heavy bundle of recovered armor plates from a ConvoyZ event. Reward and trader item, no normal map spawn."
"STR_DZCONVOYZ_DZCV_CONVOYBLACKBOX_NAME","DeutschZ ConvoyZ Blackbox","DeutschZ ConvoyZ Blackbox","DeutschZ ConvoyZ Blackbox","DeutschZ ConvoyZ Blackbox","DeutschZ ConvoyZ Blackbox","DeutschZ ConvoyZ Blackbox","DeutschZ ConvoyZ Blackbox","DeutschZ ConvoyZ Blackbox","DeutschZ ConvoyZ Blackbox","DeutschZ ConvoyZ Blackbox","DeutschZ ConvoyZ Blackbox","DeutschZ ConvoyZ Blackbox","DeutschZ ConvoyZ Blackbox","DeutschZ ConvoyZ Blackbox"
"STR_DZCONVOYZ_DZCV_CONVOYBLACKBOX_DESC","Recovered blackbox. Bring it to the contact before other players find you.","Recovered blackbox. Bring it to the contact before other players find you.","Recovered blackbox. Bring it to the contact before other players find you.","Geborgene Blackbox. Bringe sie zum Kontaktmann, bevor andere Spieler dich finden.","Recovered blackbox. Bring it to the contact before other players find you.","Recovered blackbox. Bring it to the contact before other players find you.","Recovered blackbox. Bring it to the contact before other players find you.","Recovered blackbox. Bring it to the contact before other players find you.","Recovered blackbox. Bring it to the contact before other players find you.","Recovered blackbox. Bring it to the contact before other players find you.","Recovered blackbox. Bring it to the contact before other players find you.","Recovered blackbox. Bring it to the contact before other players find you.","Recovered blackbox. Bring it to the contact before other players find you.","Recovered blackbox. Bring it to the contact before other players find you."
"STR_DZCONVOYZ_DZCV_BLACKBOXDELIVERYNOTE_NAME","DeutschZ Blackbox Handover Note","DeutschZ Blackbox Handover Note","DeutschZ Blackbox Handover Note","DeutschZ Blackbox-Uebergabenotiz","DeutschZ Blackbox Handover Note","DeutschZ Blackbox Handover Note","DeutschZ Blackbox Handover Note","DeutschZ Blackbox Handover Note","DeutschZ Blackbox Handover Note","DeutschZ Blackbox Handover Note","DeutschZ Blackbox Handover Note","DeutschZ Blackbox Handover Note","DeutschZ Blackbox Handover Note","DeutschZ Blackbox Handover Note"
"STR_DZCONVOYZ_DZCV_BLACKBOXDELIVERYNOTE_DESC","Note for the blackbox handover. The contact says: keep this, it may still be important.","Note for the blackbox handover. The contact says: keep this, it may still be important.","Note for the blackbox handover. The contact says: keep this, it may still be important.","Notiz zur Blackbox-Uebergabe. Der Kontaktmann sagt: Behalte das mal, kann noch wichtig sein.","Note for the blackbox handover. The contact says: keep this, it may still be important.","Note for the blackbox handover. The contact says: keep this, it may still be important.","Note for the blackbox handover. The contact says: keep this, it may still be important.","Note for the blackbox handover. The contact says: keep this, it may still be important.","Note for the blackbox handover. The contact says: keep this, it may still be important.","Note for the blackbox handover. The contact says: keep this, it may still be important.","Note for the blackbox handover. The contact says: keep this, it may still be important.","Note for the blackbox handover. The contact says: keep this, it may still be important.","Note for the blackbox handover. The contact says: keep this, it may still be important.","Note for the blackbox handover. The contact says: keep this, it may still be important."
"STR_DZCONVOYZ_DZCV_OPERATIONLEAD_NAME","DeutschZ Operation Lead","DeutschZ Operation Lead","DeutschZ Operation Lead","DeutschZ Operation Lead","DeutschZ Operation Lead","DeutschZ Operation Lead","DeutschZ Operation Lead","DeutschZ Operation Lead","DeutschZ Operation Lead","DeutschZ Operation Lead","DeutschZ Operation Lead","DeutschZ Operation Lead","DeutschZ Operation Lead","DeutschZ Operation Lead"
"STR_DZCONVOYZ_DZCV_OPERATIONLEAD_DESC","OperationDeutschZ clue from ConvoyZ. Used later as a chain item.","OperationDeutschZ clue from ConvoyZ. Used later as a chain item.","OperationDeutschZ clue from ConvoyZ. Used later as a chain item.","OperationDeutschZ-Hinweis aus ConvoyZ. Dient spaeter als Verkettungsitem.","OperationDeutschZ clue from ConvoyZ. Used later as a chain item.","OperationDeutschZ clue from ConvoyZ. Used later as a chain item.","OperationDeutschZ clue from ConvoyZ. Used later as a chain item.","OperationDeutschZ clue from ConvoyZ. Used later as a chain item.","OperationDeutschZ clue from ConvoyZ. Used later as a chain item.","OperationDeutschZ clue from ConvoyZ. Used later as a chain item.","OperationDeutschZ clue from ConvoyZ. Used later as a chain item.","OperationDeutschZ clue from ConvoyZ. Used later as a chain item.","OperationDeutschZ clue from ConvoyZ. Used later as a chain item.","OperationDeutschZ clue from ConvoyZ. Used later as a chain item."
"STR_DZCONVOYZ_DZCV_CRASHSITEKEYFRAGMENT_NAME","DeutschZ Crash Site Key Fragment","DeutschZ Crash Site Key Fragment","DeutschZ Crash Site Key Fragment","DeutschZ Crashsite Keyfragment","DeutschZ Crash Site Key Fragment","DeutschZ Crash Site Key Fragment","DeutschZ Crash Site Key Fragment","DeutschZ Crash Site Key Fragment","DeutschZ Crash Site Key Fragment","DeutschZ Crash Site Key Fragment","DeutschZ Crash Site Key Fragment","DeutschZ Crash Site Key Fragment","DeutschZ Crash Site Key Fragment","DeutschZ Crash Site Key Fragment"
"STR_DZCONVOYZ_DZCV_CRASHSITEKEYFRAGMENT_DESC","Fragment of an access key from a ConvoyZ crash site.","Fragment of an access key from a ConvoyZ crash site.","Fragment of an access key from a ConvoyZ crash site.","Fragment eines Zugangsschluessels aus einer ConvoyZ-Crashsite.","Fragment of an access key from a ConvoyZ crash site.","Fragment of an access key from a ConvoyZ crash site.","Fragment of an access key from a ConvoyZ crash site.","Fragment of an access key from a ConvoyZ crash site.","Fragment of an access key from a ConvoyZ crash site.","Fragment of an access key from a ConvoyZ crash site.","Fragment of an access key from a ConvoyZ crash site.","Fragment of an access key from a ConvoyZ crash site.","Fragment of an access key from a ConvoyZ crash site.","Fragment of an access key from a ConvoyZ crash site."
"STR_DZCONVOYZ_LAYOUT_DZ_CONVOYZ","DeutschZ ConvoyZ","DeutschZ ConvoyZ","DeutschZ ConvoyZ","DeutschZ ConvoyZ","DeutschZ ConvoyZ","DeutschZ ConvoyZ","DeutschZ ConvoyZ","DeutschZ ConvoyZ","DeutschZ ConvoyZ","DeutschZ ConvoyZ","DeutschZ ConvoyZ","DeutschZ ConvoyZ","DeutschZ ConvoyZ","DeutschZ ConvoyZ"
"STR_DZCONVOYZ_LAYOUT_CONVOY_READY","Convoy ready","Convoy ready","Convoy ready","Convoy ready","Convoy ready","Convoy ready","Convoy ready","Convoy ready","Convoy ready","Convoy ready","Convoy ready","Convoy ready","Convoy ready","Convoy ready"
"STR_DZCONVOYZ_LAYOUT_BEREICH_SICHERN","Secure the area","Secure the area","Secure the area","Bereich sichern","Secure the area","Secure the area","Secure the area","Secure the area","Secure the area","Secure the area","Secure the area","Secure the area","Secure the area","Secure the area"
